Inverse Dynamics Generalized Forces
version=1
nRows=850
nColumns=67
inDegrees=no
endheader
time	pelvis_tilt_moment	pelvis_list_moment	pelvis_rotation_moment	pelvis_tx_force	pelvis_ty_force	pelvis_tz_force	hip_flexion_r_moment	hip_adduction_r_moment	hip_rotation_r_moment	hip_flexion_l_moment	hip_adduction_l_moment	hip_rotation_l_moment	lumbar_extension_moment	lumbar_bending_moment	lumbar_rotation_moment	knee_angle_r_moment	knee_rot_r_moment	knee_adduc_r_moment	knee_angle_l_moment	knee_rot_l_moment	knee_adduc_l_moment	neck_flexion_moment	neck_lateral_bending_moment	neck_rotation_moment	arm_flex_r_moment	arm_add_r_moment	arm_rot_r_moment	arm_flex_l_moment	arm_add_l_moment	arm_rot_l_moment	ankle_angle_r_moment	ankle_rot_r_moment	ankle_add_r_moment	ankle_angle_l_moment	ankle_rot_l_moment	ankle_add_l_moment	elbow_flex_r_moment	elbow_rot_r_moment	elbow_add_r_moment	elbow_flex_l_moment	elbow_rot_l_moment	elbow_add_l_moment	subtalar_angle_r_moment	subtalar_angle_l_moment	pro_sup_r_moment	pro_sup_l_moment	mtp_angle_r_moment	mtp_rot_r_moment	mtp_add_r_moment	mtp_angle_l_moment	mtp_rot_l_moment	mtp_add_l_moment	wrist_flex_r_moment	wrist_adduc_r_moment	wrist_rot_r_moment	wrist_flex_l_moment	wrist_adduc_l_moment	wrist_rot_l_moment	wrist_dev_r_moment	wrist_dev_l_moment	hand_finger_flex_r_moment	hand_finger_adduc_r_moment	hand_finger_rot_r_moment	hand_finger_flex_l_moment	hand_finger_adduc_l_moment	hand_finger_rot_l_moment
      0.00000000	     73.88497892	     73.97956881	      3.78068022	    752.71872821	    690.38111157	   -436.88730188	      9.65467878	     20.52824975	    -11.58048340	     15.38552448	    -41.00153785	    -17.80272852	     63.71355942	    -58.43079864	     37.48248860	     -6.53945179	     -1.87047945	      5.85181392	     -7.45375715	      6.03736340	     35.65394489	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -1.72296610	      0.21055327	      0.36668526	      0.21692365	      3.96686414	      0.29281083	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.72441722	     -1.95528315	      0.00000000	      0.00000000	     -0.24507731	      0.08927759	     -0.23096088	     -0.48290153	      0.19966504	      0.28433103	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
      0.00500000	     81.40905007	    -17.13423445	     30.93793813	    557.49004909	    558.11922554	   -184.85142465	     13.04430443	      3.59384711	     -7.67177658	     13.70478892	     16.90338814	    -33.28370320	     67.17291427	    -38.89534591	     32.23255325	     -2.38061993	     -1.70837611	     -1.13628354	     -5.63826390	      1.25835157	      1.75544086	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.73158490	     -0.27087169	      0.19042938	     -0.80291845	      0.70713022	     -0.29773927	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.15042579	      0.24616612	      0.00000000	      0.00000000	     -0.16476180	      0.00898040	     -0.13385544	     -0.36349940	     -0.01144276	      0.26997447	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
      0.01000000	      5.70344778	     18.93897585	      7.92332458	   -172.81958788	     91.98496801	     80.47636779	     -2.74845315	      6.31026271	      3.75753212	    -15.62605029	     -4.39318681	      5.12566701	     18.43436140	     32.83957426	     -0.24926147	      0.55128172	      0.54571461	      1.25688822	     -2.37885733	     -0.72783993	     -1.10096458	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      1.77489192	     -0.24007779	     -0.04425190	     -0.00599302	     -0.51221084	     -0.07780568	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.51581825	      0.28989950	      0.00000000	      0.00000000	      0.10801312	     -0.06199163	      0.16028629	      0.04173141	     -0.05594432	     -0.03010156	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
      0.01500000	    -38.95799289	    -47.69763286	    -37.04390427	   -149.35548208	    -44.42431342	    -51.43632261	     -5.86553707	     -2.04353373	     -2.25601934	     -0.50546155	      4.41910817	     -2.53789244	    -32.53847510	    -29.54454200	    -41.99853337	     -1.70343536	     -0.82472634	      0.64603594	     -9.63497694	     -0.42770701	     -0.24217886	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.45095974	     -0.48662058	     -0.10960179	     -0.06784740	      0.09922080	      0.03071290	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.24533773	     -0.05489030	      0.00000000	      0.00000000	     -0.06369812	     -0.04653784	     -0.06447859	     -0.04591055	     -0.04143006	      0.02721473	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
      0.02000000	     27.48938833	     76.50692779	     84.09868292	     21.01584531	    634.26591840	   -141.48365700	     21.80078103	     15.75945359	     -0.06809961	    -23.15111180	      6.18647640	      0.40144948	     66.58612472	     11.12868929	    112.77239065	      2.16289654	      1.24727330	      1.34465389	      1.53823461	     -0.56907106	     -2.64502977	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.04444449	      1.48348128	      0.32743173	      0.90950331	     -0.24567506	      0.00724682	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      1.03550712	     -0.12416341	      0.00000000	      0.00000000	      0.05390111	      0.18333216	      0.03457918	      0.17047900	      0.03181740	     -0.16001894	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
      0.02500000	     -4.01795280	    -85.01821269	    -85.72412314	   -123.72311706	   -132.56652654	    181.45773157	    -16.76286732	     -9.04994341	      0.65901956	     11.86740623	     -2.46498022	     -3.11401564	     -6.97778907	     -3.27108636	   -129.65515421	      0.21812817	     -1.08824396	      1.90191982	     -3.49385948	      0.02546895	     -0.55384770	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      1.06901275	     -1.50166389	     -0.30170461	     -1.10877074	     -0.23604553	     -0.11503923	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -1.22236323	      0.48421075	      0.00000000	      0.00000000	     -0.00759465	     -0.21526385	      0.04563474	     -0.16912728	     -0.09846216	      0.16738604	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
      0.03000000	    -30.26104118	     81.97233405	     77.39203566	    100.94120247	    375.62206094	   -230.73030064	     17.61943398	     10.69004667	     -1.55265239	     -9.36099968	      5.98337509	      1.11949535	    -17.71461235	     -2.69227176	    125.61116007	     -0.51459020	      0.64223884	     -2.68221506	     -1.16369117	     -0.60801453	     -1.00580587	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.83878182	      1.17950515	      0.27786564	      1.48836851	     -0.05228372	      0.15098977	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.98985864	     -0.47713396	      0.00000000	      0.00000000	      0.00654443	      0.18155323	     -0.03054576	      0.18845833	      0.05117145	     -0.19723025	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
      0.03500000	     42.55977473	    -56.22547916	    -68.81280125	    -78.17692853	    112.36903316	    250.91955675	     -3.26013364	      6.12391815	      1.97955360	      4.57484354	      4.76566529	     -4.50843138	     46.70122557	     24.65142542	   -118.64457538	      0.41541601	     -0.25936142	      7.25715090	      3.45342691	     -0.06343327	     -3.82755780	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      1.13242220	     -0.89042689	     -0.25750626	     -1.13232242	     -0.64033277	     -0.24340925	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.87404946	      0.79961285	      0.00000000	      0.00000000	     -0.00368373	     -0.15249296	      0.04316811	     -0.14174103	     -0.09945881	      0.14731527	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
      0.04000000	    -57.39133164	     21.55190829	     76.36077579	    125.11248491	    198.91044075	   -294.26762545	     -3.19915187	      4.74223944	     -1.00559627	      4.88700064	      1.96779729	      0.94846277	    -41.68808186	    -56.92466365	    113.44121627	      0.89616184	      0.48778175	     -2.99954479	     -4.07133000	      0.02451632	      0.12562196	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.42506682	      0.85256225	      0.25541861	      2.10246633	      0.59414542	      0.26641627	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.72327995	     -1.03328311	      0.00000000	      0.00000000	      0.02971802	      0.11645157	      0.00378817	      0.17283900	      0.11692523	     -0.22413044	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
      0.04500000	     -4.90381867	    -42.38929460	    -93.31690362	   -287.20896774	    -63.24238898	    291.97303072	     25.10639331	     -3.31550649	      1.14065428	      1.76833908	      9.69454522	     -1.50629491	    -39.00459252	     54.17764773	   -134.30599839	      0.40952461	     -0.50406045	      3.70664757	      3.88014295	     -1.07119788	     -2.36657465	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.09916480	     -0.90700692	     -0.38951442	     -1.60399612	     -1.43927888	     -0.26602837	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.79114582	      1.32527011	      0.00000000	      0.00000000	     -0.08975480	     -0.11477398	     -0.06663419	     -0.13803346	     -0.20284347	      0.17194365	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
      0.05000000	    105.04055714	     89.51375625	    115.41478127	    385.37263072	    807.44937769	   -368.83746112	     -7.44921901	     13.12565070	     -1.48343371	     -2.02356888	     -5.57932025	     -1.41749532	    149.62595239	    -28.75716739	    174.73518175	      1.89597291	      0.81508703	     -1.88175813	      0.47403494	      0.60162594	     -2.66374301	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.42859194	      1.31296994	      0.55962283	      2.62632107	      0.93631833	      0.21085073	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      1.03664985	     -1.29331315	      0.00000000	      0.00000000	      0.12923055	      0.15550638	      0.12105042	      0.24489920	      0.21607113	     -0.29853489	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
      0.05500000	    -96.60539917	    -58.44416154	    -84.28985187	   -193.46038316	   -264.56409712	    338.63707295	     -3.05493126	     -2.08847118	      1.48508006	      7.71197514	      9.39154136	     -2.38644741	   -100.85667895	     30.04553919	   -132.34709260	     -0.37110610	     -0.76183752	      1.74048866	      0.15848144	     -0.14090717	     -0.53804028	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.66768599	     -1.26895520	     -0.42515237	     -1.29637138	     -0.59230545	     -0.10223555	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -1.10429749	      0.70523685	      0.00000000	      0.00000000	     -0.04107464	     -0.16783907	     -0.00410863	     -0.15630543	     -0.13892903	      0.17116564	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
      0.06000000	     26.80709772	      9.72170566	     48.83432482	     87.50560641	    398.34990430	   -285.99389030	     13.90106984	      7.94714518	     -0.47384066	     -3.43741519	      5.08021867	     -0.40327442	     34.26691733	    -38.94194259	     73.41124399	      1.63259128	      0.48864190	      1.04141258	     -0.96746234	     -0.62608405	     -3.08262099	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.55133531	      0.66789894	      0.16060517	      1.56905939	     -0.14082304	      0.07210227	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.56906319	     -0.38172138	      0.00000000	      0.00000000	     -0.01242342	      0.08417857	     -0.03516010	      0.15558529	      0.05151546	     -0.19068850	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
      0.06500000	    -30.14532182	      9.11092198	    -41.13080516	   -114.92069184	     89.10014724	    256.28923852	      7.59082535	     -4.03055616	      1.73461803	     -1.37567821	     -2.34349196	     -2.46005880	    -28.86614355	     59.65643377	    -70.67770785	     -1.54087696	      0.33481354	      1.79397393	      1.84984500	     -0.45088488	     -2.23605523	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.43869430	      0.02094069	     -0.11033810	     -1.21686171	     -0.88957149	     -0.20418318	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.15073280	      0.88955578	      0.00000000	      0.00000000	     -0.01928162	     -0.00020362	     -0.00103233	     -0.11657841	     -0.13533667	      0.13682288	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
      0.07000000	     17.41518349	    -19.45697272	     51.36505310	    142.03819163	    305.40174911	   -302.50880570	     -9.06081749	     12.75117260	     -2.17736347	      7.43378704	     12.73061165	      1.22764869	     40.88643577	    -78.63348205	     84.81696149	      3.83062833	     -0.61251734	     -1.05491790	     -2.78657785	      0.19352575	     -0.55832554	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.18775974	     -0.29045277	      0.05271223	      2.38502306	      0.89243090	      0.32109599	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.12983051	     -1.26832408	      0.00000000	      0.00000000	      0.04822896	     -0.04646900	      0.04780883	      0.16989948	      0.16556393	     -0.23700663	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
      0.07500000	    -21.37933112	     15.89477758	    -45.80367758	   -105.76099715	    120.77490386	    248.25087074	     16.87425243	     -5.98985438	      2.46002780	     -6.36485422	     -6.85285621	     -3.10991028	    -26.63327917	     72.46607630	    -77.37399746	     -1.71984566	      0.98535661	      3.71572525	      1.83334191	     -0.66730149	     -2.66826469	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.15979722	      0.62330459	      0.04390734	     -1.42811044	     -1.22594659	     -0.28430262	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.31915490	      1.15775955	      0.00000000	      0.00000000	     -0.03375675	      0.07153112	     -0.02503593	     -0.10345571	     -0.17381535	      0.13637929	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
      0.08000000	      4.10882029	     -3.75668107	     28.28621493	     86.29402472	    275.03940402	   -152.92214592	     -3.25762399	      7.45430799	     -0.99226190	      3.75020016	      6.85410438	      0.05456760	     20.89259154	    -35.63160388	     42.52166078	      1.41139559	     -0.46513846	     -1.40395668	     -2.03234630	      0.02171988	     -0.83514065	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.33227312	     -0.34091846	     -0.04162802	      1.25291102	      0.37970775	      0.15987773	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.25650484	     -0.61760365	      0.00000000	      0.00000000	      0.03255729	     -0.04233668	      0.04084361	      0.07688652	      0.07412923	     -0.11846177	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
