Inverse Dynamics Generalized Forces
version=1
nRows=622
nColumns=67
inDegrees=no
endheader
time,pelvis_tilt_moment,pelvis_list_moment,pelvis_rotation_moment,pelvis_tx_force,pelvis_ty_force,pelvis_tz_force,hip_flexion_r_moment,hip_adduction_r_moment,hip_rotation_r_moment,hip_flexion_l_moment,hip_adduction_l_moment,hip_rotation_l_moment,lumbar_extension_moment,lumbar_bending_moment,lumbar_rotation_moment,knee_angle_r_moment,knee_rot_r_moment,knee_adduc_r_moment,knee_angle_l_moment,knee_rot_l_moment,knee_adduc_l_moment,neck_flexion_moment,neck_lateral_bending_moment,neck_rotation_moment,arm_flex_r_moment,arm_add_r_moment,arm_rot_r_moment,arm_flex_l_moment,arm_add_l_moment,arm_rot_l_moment,ankle_angle_r_moment,ankle_rot_r_moment,ankle_add_r_moment,ankle_angle_l_moment,ankle_rot_l_moment,ankle_add_l_moment,elbow_flex_r_moment,elbow_rot_r_moment,elbow_add_r_moment,elbow_flex_l_moment,elbow_rot_l_moment,elbow_add_l_moment,subtalar_angle_r_moment,subtalar_angle_l_moment,pro_sup_r_moment,pro_sup_l_moment,mtp_angle_r_moment,mtp_rot_r_moment,mtp_add_r_moment,mtp_angle_l_moment,mtp_rot_l_moment,mtp_add_l_moment,wrist_flex_r_moment,wrist_adduc_r_moment,wrist_rot_r_moment,wrist_flex_l_moment,wrist_adduc_l_moment,wrist_rot_l_moment,wrist_dev_r_moment,wrist_dev_l_moment,hand_finger_flex_r_moment,hand_finger_adduc_r_moment,hand_finger_rot_r_moment,hand_finger_flex_l_moment,hand_finger_adduc_l_moment,hand_finger_rot_l_moment
      0.19500000,    -83.95521633,    -91.68414016,     95.54354618,   -400.86856715,   -516.60200425,   -199.50082347,    -14.37352803,      8.77221800,      2.56976127,      0.17736859,     38.40213223,     -0.85163331,   -135.08870560,   -138.74155323,     53.62869557,      2.39211046,      0.66357108,     -2.63099340,     -4.16614664,      0.29928962,     -2.52222210,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,     -1.78843004,      0.63293574,      0.02505802,      5.12136562,      0.56966528,     -1.24570718,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.64152053,     -0.57536071,      0.00000000,      0.00000000,     -0.10510559,      0.10185156,     -0.17270377,      0.38378699,      0.22208451,     -0.53310674,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000
      0.20000000,    127.17130417,     92.97946276,    -97.66463409,    296.97297342,   1353.82185620,    196.01058697,      1.51022691,     -5.44240414,     -1.34258871,     10.99282640,    -45.04160301,      1.58504677,    231.08907458,    142.60991186,    -51.03104033,     -9.70469498,      0.05000293,      4.22428252,      8.96540900,      0.35799202,      5.79382293,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      2.98789653,     -0.57142321,     -0.08096430,     -4.60709076,     -0.16092688,      0.94885559,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,     -0.85236496,      0.40524780,      0.00000000,      0.00000000,      0.21107870,     -0.10255335,      0.31223864,     -0.42718795,     -0.17373198,      0.52139862,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000
      0.20500000,   -138.67145125,   -103.45150849,    160.99219906,   -262.17766169,     -4.37271990,    -51.48539466,      0.24409516,     18.43393650,     -4.57137996,      8.90079760,     40.93473379,      7.19533816,   -118.27843192,   -150.63153259,     83.53495440,      5.86460813,     -0.84230463,     -1.99946637,     -0.00812508,     -2.80112337,     -9.65348478,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,     -1.64100549,      0.31554791,     -0.00182387,      6.04702846,     -0.99239218,     -0.92435607,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.46778533,     -0.32641486,      0.00000000,      0.00000000,     -0.17197332,      0.06573278,     -0.21294000,      0.71391892,      0.13715890,     -0.73169338,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000
      0.21000000,     28.14092264,    108.46875669,   -127.55898621,   -148.21568374,   -161.12201160,   -215.36213969,     -7.42322242,     -0.05545425,      5.92079930,     -8.40140575,     -0.15344254,    -15.47000962,    -33.88215802,     82.66554879,    -55.24806673,     -3.30990415,      1.01893903,     -0.81477083,     -0.76514395,      2.70622111,     -1.17742660,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,     -0.28238729,      0.09707083,     -0.01857598,     -0.23982716,      0.72133926,     -0.70107355,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.05168079,      0.37743364,      0.00000000,      0.00000000,      0.03391556,      0.02387530,      0.01114652,     -0.28078346,      0.05474786,      0.13888671,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000
      0.21500000,     50.95418821,   -118.69505701,     94.32728611,    149.70834867,    823.65048937,    267.68674647,     -7.88495899,    -17.21980209,      3.45705202,     36.77102194,     -0.60617201,      6.71381478,    111.43958566,    -31.79999939,     44.44491904,     -2.69470972,      0.29695039,     -0.79638085,     14.81942962,     -1.48423993,      0.46741047,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      3.89958072,     -0.54096436,     -0.12724020,      1.07031865,     -0.45787172,      0.11544609,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,     -1.00232275,     -0.20255928,      0.00000000,      0.00000000,      0.27696767,     -0.14505646,      0.38871379,      0.15234871,      0.01781540,     -0.09807977,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000
      0.22000000,    -43.15261439,    126.78306264,    -61.54557008,   -158.44908209,   -217.41615056,   -402.99648532,     29.31968582,     28.28268307,     -4.13920706,     -7.93746803,      0.21683431,     -7.18132762,   -120.51264176,      2.54185981,    -15.90530580,      5.41537215,     -0.31022793,      1.10720480,     -1.84786225,      1.92664868,     -1.58865493,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,     -3.77130213,      0.70695691,      0.09164185,      1.40608736,      0.52427016,     -0.68568076,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      1.06425641,     -0.00402591,      0.00000000,      0.00000000,     -0.30202432,      0.16826496,     -0.40345422,     -0.01935495,      0.10326754,     -0.08800056,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000
      0.22500000,     59.65424212,   -125.52891956,     77.35861607,     44.93514428,   1059.16536927,    408.88106509,    -18.66960553,    -20.49321520,      1.42108972,     38.08079266,      9.52877838,     10.75918090,    174.97494896,    -17.08773153,     24.57462837,     -0.73046723,     -1.18074505,     -4.15618024,     16.67943016,     -4.37005664,     -5.59001533,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      4.04906330,     -1.51806437,     -0.44498433,      3.69190206,     -1.11119154,     -0.08343976,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,     -1.83779124,     -0.38135893,      0.00000000,      0.00000000,      0.23605966,     -0.27625373,      0.35184131,      0.43315144,      0.08309414,     -0.37273978,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000
      0.23000000,    -11.31901620,     74.95540847,    -92.04944585,   -187.97717676,   -380.54591633,   -309.59120190,     29.85901759,      2.65868751,     -0.16521246,     11.14175305,     -4.75620689,    -12.36642118,   -151.92175075,     10.73080814,    -45.42858482,      2.20546199,      0.89270337,      0.36057214,      7.37266935,      4.83251005,      1.66925103,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,     -2.74244325,      1.30931938,      0.37997677,     -1.68993177,      1.23119942,     -0.37646515,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      1.47215265,      0.16980768,      0.00000000,      0.00000000,     -0.18133971,      0.23398097,     -0.25044891,     -0.41102811,      0.03593925,      0.31668880,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000
      0.23500000,     65.81811107,    -77.91690912,     86.40909600,    167.88870607,    560.45241063,     24.97165580,    -17.33099587,    -14.26625692,      2.65111116,     18.23512917,      9.43497516,      5.38993196,    121.94899654,    -30.62633327,     72.00020473,     -0.76187906,     -0.01433971,     -1.85935777,      5.11386246,     -1.22063561,      0.48145739,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      2.63622678,     -0.47781010,     -0.12526718,      4.90859481,     -0.39201223,     -0.89090741,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,     -0.78064698,     -0.34068386,      0.00000000,      0.00000000,      0.19792048,     -0.12777922,      0.26615569,      0.49817898,      0.19508192,     -0.56138099,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000
      0.24000000,    -38.68886160,     83.78564460,    -25.88123064,   -209.09046005,    253.29536106,     63.12669080,     20.15599456,     24.10427750,     -1.89522342,      2.08207196,      4.14179729,     -4.25859345,    -50.90591332,     35.63044454,    -22.53210270,      0.53352498,     -0.01193805,      1.79598556,      6.52753281,      0.40470153,     -3.22890581,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,     -1.05755632,      0.21583646,     -0.06787397,     -2.47150465,      0.02503912,      0.52716171,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.24420280,      0.19465503,      0.00000000,      0.00000000,     -0.11010666,      0.06451354,     -0.13257101,     -0.31066552,     -0.10738158,      0.35205812,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000
