Inverse Dynamics Generalized Forces
version=1
nRows=2327
nColumns=67
inDegrees=no
endheader
time	pelvis_tilt_moment	pelvis_list_moment	pelvis_rotation_moment	pelvis_tx_force	pelvis_ty_force	pelvis_tz_force	hip_flexion_r_moment	hip_adduction_r_moment	hip_rotation_r_moment	hip_flexion_l_moment	hip_adduction_l_moment	hip_rotation_l_moment	lumbar_extension_moment	lumbar_bending_moment	lumbar_rotation_moment	knee_angle_r_moment	knee_rot_r_moment	knee_adduc_r_moment	knee_angle_l_moment	knee_rot_l_moment	knee_adduc_l_moment	neck_flexion_moment	neck_lateral_bending_moment	neck_rotation_moment	arm_flex_r_moment	arm_add_r_moment	arm_rot_r_moment	arm_flex_l_moment	arm_add_l_moment	arm_rot_l_moment	ankle_angle_r_moment	ankle_rot_r_moment	ankle_add_r_moment	ankle_angle_l_moment	ankle_rot_l_moment	ankle_add_l_moment	elbow_flex_r_moment	elbow_rot_r_moment	elbow_add_r_moment	elbow_flex_l_moment	elbow_rot_l_moment	elbow_add_l_moment	subtalar_angle_r_moment	subtalar_angle_l_moment	pro_sup_r_moment	pro_sup_l_moment	mtp_angle_r_moment	mtp_rot_r_moment	mtp_add_r_moment	mtp_angle_l_moment	mtp_rot_l_moment	mtp_add_l_moment	wrist_flex_r_moment	wrist_adduc_r_moment	wrist_rot_r_moment	wrist_flex_l_moment	wrist_adduc_l_moment	wrist_rot_l_moment	wrist_dev_r_moment	wrist_dev_l_moment	hand_finger_flex_r_moment	hand_finger_adduc_r_moment	hand_finger_rot_r_moment	hand_finger_flex_l_moment	hand_finger_adduc_l_moment	hand_finger_rot_l_moment
      0.00000000	      3.63821532	     45.47589728	     -1.83128538	    183.86847433	    323.59002507	   -203.14274377	      0.03536663	      6.55187099	     -2.05480804	      4.92119155	      1.92259982	      1.26909452	     27.91069504	     -1.10082793	      5.38909512	     -1.75969441	     -2.11281468	     -3.90552950	     -2.30514406	     -1.68396662	     -1.95936633	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.12761704	     -1.42174853	     -0.09537299	      0.39989749	     -1.09941811	     -0.03400651	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.82830890	      0.44372969	      0.00000000	      0.00000000	     -0.05613654	     -0.13074967	     -0.03873473	      0.07818703	     -0.08843299	     -0.08723745	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
      0.00500000	      2.16359114	     13.57336469	     -5.44349416	      1.71975977	    221.42868227	    -70.30496921	      0.99225692	      3.34358009	      0.40180260	      2.64349859	     -0.34978344	      0.25665235	     11.17033797	      2.12663907	     -3.32092169	     -1.63691992	     -0.43337845	     -1.66362251	     -2.10723208	     -0.29367816	     -0.08916693	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.19651802	     -0.28220219	     -0.07589856	      0.25069145	     -0.14506426	      0.03935250	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.23993868	     -0.02786180	      0.00000000	      0.00000000	     -0.00124455	     -0.02770428	      0.00765113	      0.01806377	     -0.00826968	     -0.02740231	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
      0.01000000	     -8.72392084	    -77.94665673	    -11.53800920	   -397.36511967	      9.69353413	    274.62791075	     -1.59573167	     -8.26213605	      6.17992409	     -3.11539178	     -1.86600961	     -2.79231520	    -30.56284635	      6.47049735	    -18.82306426	     -2.99698902	      3.10049912	      2.70663359	     -0.92367096	      2.89870346	      3.14040411	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.47478889	      2.13676681	     -0.08110567	     -0.14366538	      2.03002084	      0.19680725	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.94538802	     -1.08069016	      0.00000000	      0.00000000	      0.12872449	      0.19053753	      0.12297102	     -0.12493234	      0.17596575	      0.11539686	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
      0.01500000	     -7.73459570	     49.21339077	     15.56710410	    506.38395741	    523.18683910	   -338.20184682	      4.56768798	     -1.45854190	     -6.04792793	      8.00195255	      1.81074731	      4.82574590	     31.51648061	    -20.84878357	     29.01756602	      1.03673351	     -4.02982518	     -5.11738079	     -0.46771161	     -3.05784775	     -1.16057802	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.09456220	     -2.70877452	     -0.09455771	      0.47048862	     -2.04680518	     -0.11696942	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -1.47545643	      0.94351634	      0.00000000	      0.00000000	     -0.12763336	     -0.26192339	     -0.09740347	      0.13950973	     -0.16527004	     -0.14209912	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
      0.02000000	     10.75343498	     -4.07781320	      3.81170356	   -249.68648001	    112.43393485	    -31.62638203	     -2.50680718	      1.31447728	      2.85350553	     -0.18976095	     -2.76290135	     -3.08596032	     11.46912624	     -4.76714436	     -0.66927620	     -3.78548400	      0.82761449	     -1.01828595	     -1.45660457	      0.32096191	     -2.18924749	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.13472317	      0.65710623	      0.06969493	      0.29331866	      0.07821238	      0.03689373	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.40214117	     -0.13916597	      0.00000000	      0.00000000	      0.01535345	      0.08974245	      0.01053989	      0.00873343	      0.01985823	     -0.02216429	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
      0.02500000	    -13.67537593	    -76.15341760	     -9.34309131	    124.92077239	    224.75827462	    309.64491096	     -4.35564492	    -14.85946977	      2.49342162	      3.02478823	      4.89959821	      1.96487613	    -17.78563329	      8.38938539	      4.82594702	     -3.37930377	     -1.53016472	     -4.77429724	     -2.24941234	      2.34830155	      5.95779621	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      2.21563076	     -1.47527798	     -0.86785109	     -0.67276904	      2.10819570	      0.17637519	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -1.80752574	     -0.98582516	      0.00000000	      0.00000000	      0.11141023	     -0.24866335	      0.16937473	     -0.17567126	      0.14624379	      0.17997906	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
      0.03000000	      3.70655088	     53.55588994	     18.96258351	   -112.86778749	    245.25216661	   -242.38626106	      7.38654776	      5.42481952	     -2.96573074	      0.54590181	     -5.96427426	     -0.86392981	     20.50183626	    -24.16137773	      3.23630796	      1.20351432	      0.96263198	      3.61829821	     -0.31548000	     -2.34852197	     -4.53616207	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -1.85811925	      1.17910894	      0.76753126	      1.05387288	     -2.07048552	     -0.07593339	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      1.51889561	      0.79159939	      0.00000000	      0.00000000	     -0.11170678	      0.21729120	     -0.15219715	      0.18950616	     -0.13128021	     -0.20966900	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
      0.03500000	      6.42382105	     -9.66177840	     -6.11105145	     90.54904325	    254.58856872	    -47.98711095	      3.74997370	     -2.04532138	      2.09770653	      4.61080228	      1.39652704	      0.04772530	      7.04646706	      2.10022601	     -2.48467536	     -1.43465442	     -0.11172943	     -1.85370462	     -1.19709957	      0.32773575	      0.76224569	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.45173360	     -0.19178324	     -0.13841724	      0.25280753	      0.30489103	      0.07180242	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.29745983	     -0.26431858	      0.00000000	      0.00000000	      0.02020439	     -0.03377712	      0.03444702	     -0.00462393	      0.03548362	     -0.00686463	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
      0.04000000	    -23.18935077	    -38.20805921	      8.38060056	   -346.91629651	    -30.73224767	    254.70417133	     -6.36507051	     -7.35417909	     -1.42996284	     -0.76702062	      3.22150822	      0.26930783	    -27.81358911	      3.73008740	     18.81596887	     -2.30782419	     -1.66934299	     -3.90702003	     -2.77793031	      0.94423681	      1.69787628	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      1.54548402	     -1.02182512	     -0.69136529	     -0.82108449	      0.84756841	      0.07652257	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -1.30082938	     -0.28028133	      0.00000000	      0.00000000	      0.07022920	     -0.17520359	      0.11086531	     -0.13274349	      0.02725678	      0.14630972	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
      0.04500000	     20.26516485	     25.01109235	      0.56011168	    384.76134887	    556.23409371	   -246.78889849	     13.86073600	      1.69976721	      1.34461372	      5.28969337	     -4.27883572	      0.00126334	     36.73292787	    -16.71249415	    -13.20762079	      1.71101619	      1.73277608	      4.00738839	      0.70988956	     -0.98683352	     -1.16649561	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -1.35423114	      1.15737108	      0.67481141	      1.30296418	     -0.90432711	      0.01531363	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      1.31907082	      0.11400773	      0.00000000	      0.00000000	     -0.06682062	      0.18430777	     -0.09670920	      0.15911781	     -0.01285002	     -0.19017307	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
