Model Marker Errors from IK
version=1
nRows=1897
nColumns=4
inDegrees=no
endheader
time	total_squared_error	marker_error_RMS	marker_error_max
      0.00000000	      0.00560093	      0.01389732	      0.02005172
      0.00500000	      0.00552214	      0.01379922	      0.02034022
      0.01000000	      0.00549101	      0.01376027	      0.02040801
      0.01500000	      0.00547435	      0.01373939	      0.02050618
      0.02000000	      0.00549299	      0.01376276	      0.02055042
      0.02500000	      0.00559285	      0.01388730	      0.02032844
      0.03000000	      0.00558060	      0.01387208	      0.02060837
      0.03500000	      0.00568697	      0.01400366	      0.02024899
      0.04000000	      0.00566252	      0.01397352	      0.02039574
      0.04500000	      0.00575680	      0.01408937	      0.01994351
      0.05000000	      0.00581586	      0.01416146	      0.01981165
      0.05500000	      0.00571896	      0.01404299	      0.01994344
      0.06000000	      0.00578483	      0.01412363	      0.01964364
      0.06500000	      0.00577972	      0.01411740	      0.01966185
      0.07000000	      0.00566245	      0.01397343	      0.01953757
      0.07500000	      0.00571695	      0.01404052	      0.01943069
      0.08000000	      0.00563661	      0.01394152	      0.01925743
      0.08500000	      0.00565770	      0.01396758	      0.01937629
      0.09000000	      0.00552164	      0.01379860	      0.01939164
      0.09500000	      0.00553411	      0.01381417	      0.01936916
      0.10000000	      0.00552007	      0.01379663	      0.01946004
      0.10500000	      0.00537625	      0.01361572	      0.01970814
      0.11000000	      0.00539217	      0.01363587	      0.01959460
      0.11500000	      0.00539240	      0.01363615	      0.01959766
      0.12000000	      0.00533656	      0.01356537	      0.01962891
      0.12500000	      0.00533225	      0.01355989	      0.01955578
      0.13000000	      0.00533388	      0.01356197	      0.01947157
      0.13500000	      0.00533831	      0.01356760	      0.01940850
      0.14000000	      0.00529699	      0.01351498	      0.01942008
      0.14500000	      0.00529857	      0.01351700	      0.01937062
      0.15000000	      0.00530116	      0.01352030	      0.01938562
      0.15500000	      0.00530284	      0.01352245	      0.01945228
      0.16000000	      0.00530864	      0.01352984	      0.01956513
      0.16500000	      0.00531634	      0.01353965	      0.01971126
      0.17000000	      0.00532079	      0.01354531	      0.01987716
      0.17500000	      0.00532760	      0.01355397	      0.02007643
      0.18000000	      0.00533545	      0.01356396	      0.02024981
      0.18500000	      0.00534515	      0.01357629	      0.02040809
      0.19000000	      0.00535209	      0.01358509	      0.02052922
      0.19500000	      0.00535505	      0.01358886	      0.02062032
      0.20000000	      0.00535695	      0.01359127	      0.02070307
      0.20500000	      0.00535535	      0.01358923	      0.02077088
      0.21000000	      0.00534926	      0.01358150	      0.02080427
      0.21500000	      0.00535106	      0.01358379	      0.02084692
      0.22000000	      0.00533229	      0.01355995	      0.02084800
      0.22500000	      0.00522806	      0.01342677	      0.02072540
      0.23000000	      0.00521571	      0.01341089	      0.02072642
      0.23500000	      0.00521755	      0.01341326	      0.02069354
      0.24000000	      0.00519635	      0.01338599	      0.02069552
      0.24500000	      0.00520228	      0.01339361	      0.02068217
      0.25000000	      0.00518064	      0.01336573	      0.02070180
      0.25500000	      0.00516913	      0.01335088	      0.02076699
      0.26000000	      0.00521966	      0.01341598	      0.02022013
      0.26500000	      0.00519066	      0.01337865	      0.02021199
      0.27000000	      0.00518470	      0.01337097	      0.02020549
      0.27500000	      0.00522466	      0.01342240	      0.02032557
      0.28000000	      0.00515281	      0.01332979	      0.02008722
      0.28500000	      0.00521318	      0.01340763	      0.02014728
      0.29000000	      0.00523381	      0.01343415	      0.02039847
      0.29500000	      0.00513264	      0.01330366	      0.01996050
      0.30000000	      0.00519058	      0.01337854	      0.01991460
      0.30500000	      0.00509199	      0.01325088	      0.01984426
      0.31000000	      0.00519377	      0.01338266	      0.02136344
      0.31500000	      0.00517695	      0.01336097	      0.02164261
      0.32000000	      0.00518691	      0.01337382	      0.02170482
      0.32500000	      0.00521711	      0.01341269	      0.02270892
      0.33000000	      0.00515680	      0.01333495	      0.02212124
      0.33500000	      0.00520474	      0.01339679	      0.02205357
      0.34000000	      0.00515670	      0.01333481	      0.02149571
      0.34500000	      0.00515208	      0.01332884	      0.02112082
      0.35000000	      0.00527085	      0.01348160	      0.02309400
      0.35500000	      0.00524106	      0.01344345	      0.02246503
      0.36000000	      0.00530031	      0.01351922	      0.02249468
      0.36500000	      0.00539173	      0.01363532	      0.02588936
      0.37000000	      0.00540918	      0.01365736	      0.02559374
      0.37500000	      0.00533919	      0.01356871	      0.02486737
      0.38000000	      0.00546771	      0.01373105	      0.02515924
      0.38500000	      0.00552320	      0.01380055	      0.02519564
      0.39000000	      0.00545185	      0.01371112	      0.02452439
      0.39500000	      0.00560018	      0.01389639	      0.02588584
      0.40000000	      0.00560271	      0.01389953	      0.02567574
      0.40500000	      0.00567066	      0.01398357	      0.02653249
      0.41000000	      0.00567326	      0.01398676	      0.02668988
      0.41500000	      0.00573661	      0.01406465	      0.02717990
      0.42000000	      0.00574629	      0.01407650	      0.02746543
      0.42500000	      0.00576068	      0.01409412	      0.02790109
      0.43000000	      0.00570542	      0.01402635	      0.02778324
      0.43500000	      0.00577751	      0.01411470	      0.02832649
      0.44000000	      0.00570624	      0.01402736	      0.02807496
      0.44500000	      0.00582869	      0.01417707	      0.02853113
      0.45000000	      0.00587334	      0.01423127	      0.02857254
      0.45500000	      0.00595827	      0.01433380	      0.02859704
      0.46000000	      0.00604503	      0.01443778	      0.02891829
      0.46500000	      0.00612032	      0.01452741	      0.02892736
      0.47000000	      0.00617576	      0.01459305	      0.02894341
      0.47500000	      0.00622535	      0.01465152	      0.02888304
      0.48000000	      0.00625036	      0.01468093	      0.02858379
      0.48500000	      0.00629308	      0.01473101	      0.02863169
      0.49000000	      0.00617878	      0.01459662	      0.02826030
      0.49500000	      0.00627410	      0.01470878	      0.02857791
      0.50000000	      0.00636592	      0.01481603	      0.02890888
      0.50500000	      0.00630923	      0.01474991	      0.02877699
      0.51000000	      0.00638065	      0.01483316	      0.02910746
      0.51500000	      0.00638249	      0.01483529	      0.02900031
      0.52000000	      0.00646053	      0.01492572	      0.02936106
      0.52500000	      0.00622368	      0.01464956	      0.02830669
      0.53000000	      0.00637048	      0.01482133	      0.02890900
      0.53500000	      0.00615996	      0.01457438	      0.02783912
      0.54000000	      0.00634323	      0.01478959	      0.02869206
      0.54500000	      0.00633196	      0.01477644	      0.02827452
      0.55000000	      0.00645564	      0.01492006	      0.02894878
      0.55500000	      0.00632305	      0.01476605	      0.02837117
      0.56000000	      0.00646903	      0.01493552	      0.02914719
      0.56500000	      0.00658519	      0.01506903	      0.02967466
      0.57000000	      0.00643597	      0.01489731	      0.02861588
      0.57500000	      0.00652630	      0.01500149	      0.02925551
      0.58000000	      0.00659589	      0.01508127	      0.02964717
      0.58500000	      0.00639853	      0.01485392	      0.02874544
      0.59000000	      0.00651545	      0.01498901	      0.02945204
      0.59500000	      0.00641260	      0.01487024	      0.02793356
      0.60000000	      0.00645553	      0.01491994	      0.02813014
      0.60500000	      0.00637109	      0.01482204	      0.02645591
      0.61000000	      0.00643435	      0.01489544	      0.02674414
      0.61500000	      0.00646473	      0.01493056	      0.02681512
      0.62000000	      0.00650366	      0.01497545	      0.02689556
      0.62500000	      0.00642773	      0.01488778	      0.02602626
      0.63000000	      0.00648079	      0.01494910	      0.02619484
      0.63500000	      0.00652062	      0.01499497	      0.02630474
      0.64000000	      0.00653775	      0.01501465	      0.02632610
      0.64500000	      0.00653699	      0.01501377	      0.02632346
      0.65000000	      0.00652543	      0.01500050	      0.02629949
      0.65500000	      0.00650080	      0.01497215	      0.02625964
      0.66000000	      0.00646963	      0.01493622	      0.02619618
      0.66500000	      0.00642856	      0.01488874	      0.02608732
      0.67000000	      0.00633028	      0.01477449	      0.02472934
      0.67500000	      0.00635839	      0.01480726	      0.02497768
      0.68000000	      0.00631105	      0.01475203	      0.02468859
      0.68500000	      0.00629308	      0.01473101	      0.02458631
      0.69000000	      0.00627609	      0.01471111	      0.02444672
      0.69500000	      0.00626096	      0.01469337	      0.02427937
      0.70000000	      0.00624923	      0.01467960	      0.02409847
      0.70500000	      0.00623718	      0.01466544	      0.02391609
      0.71000000	      0.00622300	      0.01464876	      0.02374353
      0.71500000	      0.00620914	      0.01463243	      0.02359439
      0.72000000	      0.00620546	      0.01462811	      0.02351870
      0.72500000	      0.00621337	      0.01463742	      0.02320628
      0.73000000	      0.00619125	      0.01461135	      0.02317414
      0.73500000	      0.00613120	      0.01454031	      0.02301550
      0.74000000	      0.00611190	      0.01451741	      0.02313377
      0.74500000	      0.00606588	      0.01446265	      0.02310279
      0.75000000	      0.00602609	      0.01441513	      0.02314989
      0.75500000	      0.00598933	      0.01437111	      0.02316980
      0.76000000	      0.00595932	      0.01433505	      0.02319717
      0.76500000	      0.00593288	      0.01430322	      0.02320182
      0.77000000	      0.00590980	      0.01427537	      0.02319796
      0.77500000	      0.00588864	      0.01424979	      0.02317729
      0.78000000	      0.00586533	      0.01422156	      0.02317955
      0.78500000	      0.00586494	      0.01422108	      0.02193785
      0.79000000	      0.00579745	      0.01413903	      0.02209723
      0.79500000	      0.00576050	      0.01409389	      0.02211671
      0.80000000	      0.00569531	      0.01401392	      0.02222295
      0.80500000	      0.00567497	      0.01398887	      0.02215823
      0.81000000	      0.00560644	      0.01390415	      0.02224723
      0.81500000	      0.00567573	      0.01398981	      0.02204906
      0.82000000	      0.00557152	      0.01386078	      0.02212596
      0.82500000	      0.00554942	      0.01383327	      0.02200112
      0.83000000	      0.00559097	      0.01388496	      0.02193132
      0.83500000	      0.00549645	      0.01376710	      0.02193478
      0.84000000	      0.00546224	      0.01372417	      0.02187048
      0.84500000	      0.00544952	      0.01370820	      0.02179320
      0.85000000	      0.00543198	      0.01368611	      0.02181554
      0.85500000	      0.00539265	      0.01363648	      0.02173434
      0.86000000	      0.00536137	      0.01359686	      0.02164393
      0.86500000	      0.00533576	      0.01356436	      0.02154077
      0.87000000	      0.00540888	      0.01365698	      0.02132929
      0.87500000	      0.00532161	      0.01354636	      0.02125457
      0.88000000	      0.00539800	      0.01364324	      0.02100875
      0.88500000	      0.00530762	      0.01352853	      0.02090207
      0.89000000	      0.00540395	      0.01365076	      0.02062871
      0.89500000	      0.00530674	      0.01352742	      0.02052007
      0.90000000	      0.00537198	      0.01361031	      0.02058282
      0.90500000	      0.00533025	      0.01355734	      0.02039707
      0.91000000	      0.00534105	      0.01357108	      0.02013209
      0.91500000	      0.00537685	      0.01361648	      0.01985945
      0.92000000	      0.00535159	      0.01358446	      0.01959049
      0.92500000	      0.00545068	      0.01370965	      0.01997401
      0.93000000	      0.00544485	      0.01370231	      0.01974930
      0.93500000	      0.00546102	      0.01372265	      0.01958821
      0.94000000	      0.00541637	      0.01366643	      0.01953751
      0.94500000	      0.00546321	      0.01372540	      0.01936057
      0.95000000	      0.00534856	      0.01358062	      0.01946711
      0.95500000	      0.00540837	      0.01365634	      0.01965454
      0.96000000	      0.00534762	      0.01357942	      0.01999260
      0.96500000	      0.00542888	      0.01368221	      0.02000444
      0.97000000	      0.00544898	      0.01370751	      0.02009896
      0.97500000	      0.00538088	      0.01362158	      0.02017129
      0.98000000	      0.00545083	      0.01370984	      0.02031482
      0.98500000	      0.00541668	      0.01366683	      0.02028587
      0.99000000	      0.00550416	      0.01377674	      0.02045954
      0.99500000	      0.00547598	      0.01374143	      0.02041465
      1.00000000	      0.00555712	      0.01384286	      0.02052301
      1.00500000	      0.00553305	      0.01381285	      0.02048048
      1.01000000	      0.00549658	      0.01376725	      0.02052628
      1.01500000	      0.00559750	      0.01389307	      0.02055891
      1.02000000	      0.00557063	      0.01385967	      0.02052454
      1.02500000	      0.00553092	      0.01381019	      0.02053846
      1.03000000	      0.00561407	      0.01391361	      0.02052805
      1.03500000	      0.00558863	      0.01388205	      0.02053672
      1.04000000	      0.00572977	      0.01405625	      0.02014234
      1.04500000	      0.00564156	      0.01394764	      0.02049552
      1.05000000	      0.00562844	      0.01393141	      0.02044240
      1.05500000	      0.00560902	      0.01390736	      0.02041985
      1.06000000	      0.00567999	      0.01399506	      0.02026487
      1.06500000	      0.00565443	      0.01396353	      0.02020031
      1.07000000	      0.00576613	      0.01410078	      0.02007182
      1.07500000	      0.00565605	      0.01396553	      0.02031644
      1.08000000	      0.00574398	      0.01407367	      0.02036742
      1.08500000	      0.00560204	      0.01389870	      0.02086524
      1.09000000	      0.00568308	      0.01399887	      0.02091435
      1.09500000	      0.00570271	      0.01402302	      0.02113151
      1.10000000	      0.00560167	      0.01389824	      0.02144236
      1.10500000	      0.00563792	      0.01394314	      0.02159491
      1.11000000	      0.00564332	      0.01394981	      0.02191332
      1.11500000	      0.00557286	      0.01386245	      0.02211336
      1.12000000	      0.00558445	      0.01387686	      0.02236719
      1.12500000	      0.00559392	      0.01388862	      0.02258406
      1.13000000	      0.00560310	      0.01390001	      0.02273330
      1.13500000	      0.00559615	      0.01389139	      0.02283925
      1.14000000	      0.00561813	      0.01391864	      0.02285195
      1.14500000	      0.00562438	      0.01392639	      0.02285682
      1.15000000	      0.00552843	      0.01380708	      0.02291372
      1.15500000	      0.00557973	      0.01387100	      0.02281712
      1.16000000	      0.00560251	      0.01389928	      0.02284101
      1.16500000	      0.00561763	      0.01391803	      0.02292098
      1.17000000	      0.00562390	      0.01392579	      0.02306958
      1.17500000	      0.00554124	      0.01382307	      0.02246621
      1.18000000	      0.00553613	      0.01381670	      0.02267350
      1.18500000	      0.00552891	      0.01380768	      0.02285460
      1.19000000	      0.00552594	      0.01380397	      0.02299558
      1.19500000	      0.00551923	      0.01379559	      0.02300210
      1.20000000	      0.00548428	      0.01375184	      0.02311858
      1.20500000	      0.00545737	      0.01371806	      0.02312962
      1.21000000	      0.00543220	      0.01368639	      0.02310749
      1.21500000	      0.00540141	      0.01364755	      0.02308393
      1.22000000	      0.00534235	      0.01357273	      0.02282035
      1.22500000	      0.00533496	      0.01356334	      0.02285337
      1.23000000	      0.00530322	      0.01352293	      0.02286099
      1.23500000	      0.00529258	      0.01350936	      0.02295820
      1.24000000	      0.00527251	      0.01348372	      0.02312717
      1.24500000	      0.00525412	      0.01346019	      0.02320681
      1.25000000	      0.00522199	      0.01341897	      0.02286594
      1.25500000	      0.00520395	      0.01339577	      0.02298677
      1.26000000	      0.00518003	      0.01336495	      0.02309431
      1.26500000	      0.00515765	      0.01333604	      0.02321874
      1.27000000	      0.00514689	      0.01332212	      0.02319614
      1.27500000	      0.00512701	      0.01329637	      0.02329319
      1.28000000	      0.00511747	      0.01328399	      0.02334168
      1.28500000	      0.00511529	      0.01328116	      0.02342772
      1.29000000	      0.00513443	      0.01330598	      0.02310930
      1.29500000	      0.00511198	      0.01327686	      0.02313021
      1.30000000	      0.00512886	      0.01329877	      0.02300852
      1.30500000	      0.00512483	      0.01329354	      0.02292709
      1.31000000	      0.00512547	      0.01329437	      0.02279987
      1.31500000	      0.00511542	      0.01328133	      0.02266944
      1.32000000	      0.00514670	      0.01332188	      0.02249472
      1.32500000	      0.00510376	      0.01326619	      0.02235935
      1.33000000	      0.00514078	      0.01331421	      0.02232221
      1.33500000	      0.00511269	      0.01327779	      0.02223720
      1.34000000	      0.00517628	      0.01336011	      0.02237955
      1.34500000	      0.00514830	      0.01332394	      0.02217979
      1.35000000	      0.00513730	      0.01330970	      0.02197142
      1.35500000	      0.00513774	      0.01331028	      0.02173763
      1.36000000	      0.00514765	      0.01332310	      0.02149660
      1.36500000	      0.00518910	      0.01337664	      0.02175985
      1.37000000	      0.00519327	      0.01338201	      0.02141101
