Model Marker Errors from IK
version=1
nRows=500
nColumns=4
inDegrees=no
endheader
time	total_squared_error	marker_error_RMS	marker_error_max
      0.00000000	      0.00678980	      0.01504416	      0.02438808
      0.00500000	      0.00653313	      0.01475706	      0.02362793
      0.01000000	      0.00632344	      0.01451831	      0.02274911
      0.01500000	      0.00615997	      0.01432942	      0.02197524
      0.02000000	      0.00603124	      0.01417891	      0.02140066
      0.02500000	      0.00595282	      0.01408643	      0.02100066
      0.03000000	      0.00588753	      0.01400897	      0.02044993
      0.03500000	      0.00585330	      0.01396818	      0.02076862
      0.04000000	      0.00588315	      0.01400375	      0.02063991
      0.04500000	      0.00592145	      0.01404926	      0.02119104
      0.05000000	      0.00599961	      0.01414168	      0.02157214
      0.05500000	      0.00613479	      0.01430011	      0.02209999
      0.06000000	      0.00618245	      0.01435555	      0.02237808
      0.06500000	      0.00623658	      0.01441825	      0.02263780
      0.07000000	      0.00624142	      0.01442384	      0.02272159
      0.07500000	      0.00633905	      0.01453622	      0.02289144
      0.08000000	      0.00632310	      0.01451792	      0.02314758
      0.08500000	      0.00638821	      0.01459248	      0.02309828
      0.09000000	      0.00640523	      0.01461190	      0.02312703
      0.09500000	      0.00635640	      0.01455609	      0.02272422
      0.10000000	      0.00634575	      0.01454390	      0.02281250
      0.10500000	      0.00638235	      0.01458578	      0.02262430
      0.11000000	      0.00632668	      0.01452203	      0.02281610
      0.11500000	      0.00633154	      0.01452761	      0.02313227
      0.12000000	      0.00633471	      0.01453124	      0.02338528
      0.12500000	      0.00639926	      0.01460509	      0.02361694
      0.13000000	      0.00637790	      0.01458070	      0.02379893
      0.13500000	      0.00638807	      0.01459231	      0.02402237
      0.14000000	      0.00641301	      0.01462077	      0.02420683
      0.14500000	      0.00643044	      0.01464063	      0.02409207
      0.15000000	      0.00646202	      0.01467654	      0.02445673
      0.15500000	      0.00649157	      0.01471005	      0.02461255
      0.16000000	      0.00648257	      0.01469985	      0.02473457
      0.16500000	      0.00644287	      0.01465477	      0.02459459
      0.17000000	      0.00646129	      0.01467571	      0.02478694
      0.17500000	      0.00640877	      0.01461594	      0.02467207
      0.18000000	      0.00642268	      0.01463179	      0.02501328
      0.18500000	      0.00648670	      0.01470453	      0.02537720
      0.19000000	      0.00638013	      0.01458324	      0.02498611
      0.19500000	      0.00643746	      0.01464862	      0.02523123
      0.20000000	      0.00635988	      0.01456009	      0.02511089
      0.20500000	      0.00638046	      0.01458362	      0.02536155
      0.21000000	      0.00635377	      0.01455308	      0.02522233
      0.21500000	      0.00637091	      0.01457270	      0.02537109
      0.22000000	      0.00639012	      0.01459466	      0.02539551
      0.22500000	      0.00634350	      0.01454132	      0.02510981
      0.23000000	      0.00638166	      0.01458500	      0.02517744
      0.23500000	      0.00639158	      0.01459632	      0.02521778
      0.24000000	      0.00639950	      0.01460537	      0.02514724
      0.24500000	      0.00640135	      0.01460748	      0.02506717
      0.25000000	      0.00641345	      0.01462128	      0.02490946
      0.25500000	      0.00636097	      0.01456132	      0.02455629
      0.26000000	      0.00638869	      0.01459303	      0.02473355
      0.26500000	      0.00639332	      0.01459832	      0.02467497
      0.27000000	      0.00635327	      0.01455251	      0.02456478
      0.27500000	      0.00637244	      0.01457445	      0.02442446
      0.28000000	      0.00637137	      0.01457322	      0.02433610
      0.28500000	      0.00634843	      0.01454697	      0.02452296
      0.29000000	      0.00633506	      0.01453164	      0.02447231
      0.29500000	      0.00632015	      0.01451454	      0.02444156
      0.30000000	      0.00629021	      0.01448012	      0.02457832
      0.30500000	      0.00625710	      0.01444195	      0.02445941
      0.31000000	      0.00623111	      0.01441193	      0.02429245
      0.31500000	      0.00621494	      0.01439322	      0.02407957
      0.32000000	      0.00620653	      0.01438348	      0.02384500
      0.32500000	      0.00620242	      0.01437871	      0.02348819
      0.33000000	      0.00618166	      0.01435463	      0.02336706
      0.33500000	      0.00615242	      0.01432064	      0.02333153
      0.34000000	      0.00616639	      0.01433689	      0.02279590
      0.34500000	      0.00610273	      0.01426269	      0.02279505
      0.35000000	      0.00604900	      0.01419977	      0.02251217
      0.35500000	      0.00598180	      0.01412068	      0.02225563
      0.36000000	      0.00591782	      0.01404496	      0.02199989
      0.36500000	      0.00582417	      0.01393337	      0.02175338
      0.37000000	      0.00568222	      0.01376254	      0.02127579
      0.37500000	      0.00560559	      0.01366942	      0.02095259
      0.38000000	      0.00556729	      0.01362264	      0.02050444
      0.38500000	      0.00553885	      0.01358780	      0.02013505
      0.39000000	      0.00551683	      0.01356076	      0.01975915
      0.39500000	      0.00551124	      0.01355389	      0.01926282
      0.40000000	      0.00551408	      0.01355739	      0.01889949
      0.40500000	      0.00548511	      0.01352173	      0.01861417
      0.41000000	      0.00544917	      0.01347735	      0.01858240
      0.41500000	      0.00534678	      0.01335013	      0.01846894
      0.42000000	      0.00522832	      0.01320142	      0.01838639
      0.42500000	      0.00511339	      0.01305551	      0.01846983
      0.43000000	      0.00494811	      0.01284277	      0.01825213
      0.43500000	      0.00482266	      0.01267893	      0.01822416
      0.44000000	      0.00475966	      0.01259585	      0.01838282
      0.44500000	      0.00468521	      0.01249695	      0.01827170
      0.45000000	      0.00470051	      0.01251733	      0.01869119
      0.45500000	      0.00469935	      0.01251579	      0.01844624
      0.46000000	      0.00474632	      0.01257818	      0.01889602
      0.46500000	      0.00481763	      0.01267232	      0.01947875
      0.47000000	      0.00488396	      0.01275926	      0.01993807
      0.47500000	      0.00497971	      0.01288373	      0.02053344
      0.48000000	      0.00502079	      0.01293676	      0.02087451
