IKResults
version=1
nRows=2327
nColumns=67
inDegrees=yes

"Units are S.I. units (second, meters, Newtons, ...)"
Angles are in degrees.

endheader
time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,knee_rot_r,knee_adduc_r,ankle_angle_r,ankle_rot_r,ankle_add_r,subtalar_angle_r,mtp_angle_r,mtp_rot_r,mtp_add_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,knee_rot_l,knee_adduc_l,ankle_angle_l,ankle_rot_l,ankle_add_l,subtalar_angle_l,mtp_angle_l,mtp_rot_l,mtp_add_l,lumbar_extension,lumbar_bending,lumbar_rotation,neck_flexion,neck_lateral_bending,neck_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,elbow_rot_r,elbow_add_r,pro_sup_r,wrist_flex_r,wrist_adduc_r,wrist_rot_r,wrist_dev_r,hand_finger_flex_r,hand_finger_adduc_r,hand_finger_rot_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,elbow_rot_l,elbow_add_l,pro_sup_l,wrist_flex_l,wrist_adduc_l,wrist_rot_l,wrist_dev_l,hand_finger_flex_l,hand_finger_adduc_l,hand_finger_rot_l
      0.00000000,     -1.55720264,     -8.12658342,     17.50894336,     -3.03901925,      0.61595571,      0.51213492,     31.89517575,     -5.20350631,    -17.97959216,    -46.84926442,     -5.00000000,     -2.76260603,     21.09033588,     -4.52822217,      1.86933862,    -22.30690127,      2.64908083,     -2.00000000,      1.30980575,     25.73400546,     -4.69706603,     29.13818887,    -50.87950240,      5.00000000,     -2.39471271,     25.77489561,      3.62668077,      5.00000000,    -18.12289970,      4.93908679,      2.00000000,     -1.68633877,     -8.46721423,     12.76408341,     -4.14564856,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,     -0.00042092,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000
      0.00500000,     -1.55078852,     -8.10526096,     17.44401781,     -3.03686885,      0.61574693,      0.51320664,     31.80524891,     -5.01885718,    -17.93621813,    -46.93305544,     -5.00000000,     -2.73126514,     21.08146399,     -4.49150175,      1.84588509,    -22.29887113,      2.65398202,     -2.00000000,      1.31570872,     25.65102301,     -4.68265697,     29.17830268,    -51.15352330,      5.00000000,     -2.33887712,     25.76445874,      3.64191280,      5.00000000,    -18.13732617,      4.93583807,      2.00000000,     -1.68923886,     -8.34771193,     12.76081424,     -4.22704484,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,     -0.00042092,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000
      0.01000000,     -1.52495385,     -8.11069911,     17.38090733,     -3.03477924,      0.61551717,      0.51419964,     31.70918133,     -4.76702519,    -17.81962031,    -47.01758356,     -5.00000000,     -2.73643612,     21.07058017,     -4.43836013,      1.81433554,    -22.28676143,      2.66087132,     -2.00000000,      1.32285879,     25.58694166,     -4.68067077,     29.19848651,    -51.48688909,      5.00000000,     -2.27078866,     25.75104353,      3.67670040,      5.00000000,    -18.16267630,      4.93004248,      2.00000000,     -1.69248613,     -8.23430375,     12.82643554,     -4.34330588,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,     -0.00042092,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000
      0.01500000,     -1.29852139,     -8.87067715,     17.34489226,     -3.03317360,      0.61518621,      0.51570214,     31.59341709,     -3.68351442,    -17.20205457,    -47.02608727,     -5.00000000,     -2.12659904,     21.01247305,     -4.04811635,      1.40099167,    -22.32573397,      2.73286619,     -2.00000000,      1.40758959,     25.81505620,     -5.60863947,     29.05647868,    -51.96286735,      5.00000000,     -2.04090990,     25.56021007,      4.10140854,      5.00000000,    -18.43612920,      4.84915905,      2.00000000,     -1.72254652,     -8.26522037,     13.76885094,     -4.39249145,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,     -0.00042092,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000
      0.02000000,     -1.31368135,     -8.84900900,     17.24166249,     -3.03096117,      0.61503283,      0.51659293,     31.48581740,     -3.50352196,    -17.18670069,    -47.08177240,     -5.00000000,     -2.15681069,     21.01196803,     -4.06277144,      1.36750555,    -22.35610161,      2.73525191,     -2.00000000,      1.41386648,     25.70535115,     -5.55509289,     29.11280815,    -52.21795053,      5.00000000,     -1.97315255,     25.54379639,      4.11558252,      5.00000000,    -18.44607120,      4.84529712,      2.00000000,     -1.72495319,     -8.11625379,     13.77700656,     -4.42506957,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,     -0.00042092,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000
      0.02500000,     -1.30472668,     -8.84513003,     17.17704580,     -3.02885914,      0.61484484,      0.51742378,     31.37030192,     -3.30627872,    -17.15000403,    -47.18321482,     -5.00000000,     -2.21606230,     21.02144032,     -4.08276132,      1.32902920,    -22.39494637,      2.73825895,     -2.00000000,      1.42106186,     25.62855977,     -5.53043281,     29.12290936,    -52.50759523,      5.00000000,     -1.92871830,     25.52493652,      4.14568437,      5.00000000,    -18.46389675,      4.83941089,      2.00000000,     -1.72732266,     -7.97869318,     13.81756960,     -4.45311625,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,     -0.00042092,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000
      0.03000000,     -1.14477431,     -9.57758460,     16.84186317,     -3.02664292,      0.61466990,      0.51909657,     31.26931393,     -2.03585590,    -17.13956805,    -46.99232454,     -5.00000000,     -2.35268285,     21.20392825,     -4.45279394,      0.53850594,    -23.15839358,      2.77824428,     -2.00000000,      1.56960318,     25.71584690,     -6.52661716,     28.94640288,    -52.88191683,      5.00000000,     -1.79229248,     25.05805042,      4.75799635,      5.00000000,    -18.79412150,      4.69819550,      2.00000000,     -1.77270873,     -7.91640662,     14.62636660,     -4.03743676,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,     -0.00042092,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000
      0.03500000,     -1.13795090,     -9.54968999,     16.80799733,     -3.02457238,      0.61449513,      0.52007700,     31.15249222,     -1.90595410,    -17.16056710,    -47.14016305,     -5.00000000,     -2.36517022,     21.19309919,     -4.45556131,      0.51798020,    -23.17001988,      2.77713027,     -2.00000000,      1.57377361,     25.65374619,     -6.50394882,     28.95446534,    -53.15056763,      5.00000000,     -1.76802151,     25.04365805,      4.76936124,      5.00000000,    -18.80284939,      4.69561647,      2.00000000,     -1.77532077,     -7.79515616,     14.57457631,     -4.05368628,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,     -0.00042092,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000
      0.04000000,     -1.12017131,     -9.53255855,     16.77366319,     -3.02254450,      0.61430308,      0.52097718,     31.04001873,     -1.76465012,    -17.17638463,    -47.30830205,     -5.00000000,     -2.40852725,     21.19542806,     -4.46611270,      0.49296073,    -23.19174822,      2.77644523,     -2.00000000,      1.57892617,     25.60573395,     -6.47258835,     28.95318809,    -53.46382142,      5.00000000,     -1.73824978,     25.02556150,      4.79171135,      5.00000000,    -18.81637456,      4.69135781,      2.00000000,     -1.77788047,     -7.68867883,     14.55764590,     -4.05264295,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,     -0.00042092,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000
      0.04500000,     -1.03867851,     -9.85979905,     16.49460697,     -3.02093371,      0.61396617,      0.52253763,     31.07035728,     -1.03463220,    -17.56853298,    -47.35767429,     -5.00000000,     -2.90655580,     21.30365711,     -4.55231219,     -0.16475547,    -23.65303292,      2.74628593,     -2.00000000,      1.71788493,     25.74149125,     -6.96168611,     28.81431982,    -53.95316880,      5.00000000,     -1.73954773,     24.42875067,      5.00000000,      5.00000000,    -19.12487516,      4.54755239,      2.00000000,     -1.83890168,     -7.77720107,     14.87677494,     -3.61309831,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,     -0.00042092,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000,      0.00000000
