IKResults
version=1
nRows=1780
nColumns=67
inDegrees=yes

Units are S.I. units (second, meters, Newtons, ...)
Angles are in degrees.

endheader
time	pelvis_tilt	pelvis_list	pelvis_rotation	pelvis_tx	pelvis_ty	pelvis_tz	hip_flexion_r	hip_adduction_r	hip_rotation_r	knee_angle_r	knee_rot_r	knee_adduc_r	ankle_angle_r	ankle_rot_r	ankle_add_r	subtalar_angle_r	mtp_angle_r	mtp_rot_r	mtp_add_r	hip_flexion_l	hip_adduction_l	hip_rotation_l	knee_angle_l	knee_rot_l	knee_adduc_l	ankle_angle_l	ankle_rot_l	ankle_add_l	subtalar_angle_l	mtp_angle_l	mtp_rot_l	mtp_add_l	lumbar_extension	lumbar_bending	lumbar_rotation	neck_flexion	neck_lateral_bending	neck_rotation	arm_flex_r	arm_add_r	arm_rot_r	elbow_flex_r	elbow_rot_r	elbow_add_r	pro_sup_r	wrist_flex_r	wrist_adduc_r	wrist_rot_r	wrist_dev_r	hand_finger_flex_r	hand_finger_adduc_r	hand_finger_rot_r	arm_flex_l	arm_add_l	arm_rot_l	elbow_flex_l	elbow_rot_l	elbow_add_l	pro_sup_l	wrist_flex_l	wrist_adduc_l	wrist_rot_l	wrist_dev_l	hand_finger_flex_l	hand_finger_adduc_l	hand_finger_rot_l
      0.00000000	     -9.05090281	     -1.23425781	     -2.47265401	     -3.49085489	      0.61333870	      0.58652344	     28.35959909	     -6.07064192	     -5.04402492	    -61.97817191	     -5.00000000	      0.90790868	     21.08794569	     -4.70685749	     -5.00000000	    -19.15493886	      2.91434093	     -2.00000000	      2.00000000	     37.35447984	      0.50535416	     12.19619955	    -48.08589150	      5.00000000	     -1.50205241	     25.69764707	      2.15690678	      5.00000000	    -15.59704198	      3.82216877	      2.00000000	     -1.88957584	     -5.32031764	      0.07382945	     10.85165168	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00042092	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
      0.00500000	     -9.06136032	     -1.33635430	     -2.42791824	     -3.48851806	      0.61368334	      0.58640370	     28.58013757	     -6.10823644	     -5.06307801	    -62.37465627	     -5.00000000	      0.89179126	     21.11309843	     -4.73967555	     -5.00000000	    -19.18704776	      2.91711059	     -2.00000000	      2.00000000	     37.05390897	      0.48432130	     12.30277610	    -47.99959423	      5.00000000	     -1.45986268	     25.67486370	      2.16997984	      5.00000000	    -15.61246516	      3.81673574	      2.00000000	     -1.88972802	     -5.29714258	      0.14308451	     10.86583687	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00042092	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
      0.01000000	     -9.02265915	     -1.43055022	     -2.31688428	     -3.48754753	      0.61372632	      0.58587303	     29.01747550	     -6.25438185	     -5.02981338	    -63.01105447	     -5.00000000	      0.97245656	     21.22843135	     -4.82596576	     -5.00000000	    -19.29297379	      2.93232518	     -2.00000000	      2.00000000	     36.95347750	      0.62902950	     12.67040052	    -48.11070846	      5.00000000	     -1.46156984	     25.62654586	      2.26728586	      5.00000000	    -15.75696116	      3.79296472	      2.00000000	     -1.89588382	     -5.65928027	      0.25822809	     10.88159074	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00042092	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
      0.01500000	     -9.03259538	     -1.54430195	     -2.26324759	     -3.48528792	      0.61407702	      0.58577092	     29.24564716	     -6.28197549	     -5.03066776	    -63.38574759	     -5.00000000	      0.97758668	     21.25328994	     -4.83384766	     -5.00000000	    -19.30964391	      2.93624605	     -2.00000000	      2.00000000	     36.65271681	      0.61204084	     12.78383500	    -48.01264570	      5.00000000	     -1.40485829	     25.61901788	      2.27808874	      5.00000000	    -15.77602438	      3.78899610	      2.00000000	     -1.89654156	     -5.62555449	      0.34539930	     10.86680005	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00042092	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
      0.02000000	     -9.12773830	     -1.75025229	     -1.63312253	     -3.48415090	      0.61396946	      0.58461016	     29.64069564	     -6.68203693	     -4.51734672	    -63.99664827	     -5.00000000	      2.06618849	     21.72032183	     -4.79017027	     -5.00000000	    -19.50296113	      3.01637830	     -2.00000000	      2.00000000	     36.73774643	      0.99102787	     14.20575749	    -48.14248082	      5.00000000	     -1.86205463	     25.66614959	      2.67804202	      5.00000000	    -16.55927295	      3.68548929	      2.00000000	     -1.93455079	     -5.78147019	      0.69809793	     10.20629773	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00042092	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
      0.02500000	     -9.13013638	     -1.87555429	     -1.64485638	     -3.48205019	      0.61431570	      0.58458599	     29.91167535	     -6.70522748	     -4.55752589	    -64.34228238	     -5.00000000	      2.06268638	     21.73541042	     -4.80534628	     -5.00000000	    -19.51993638	      3.01804436	     -2.00000000	      2.00000000	     36.44111392	      0.97586334	     14.34099470	    -48.08172931	      5.00000000	     -1.73551449	     25.65450293	      2.67168421	      5.00000000	    -16.56523236	      3.68133017	      2.00000000	     -1.93460599	     -5.77751358	      0.78135949	     10.21314969	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00042092	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
      0.03000000	     -9.12313988	     -2.03690214	     -1.59138644	     -3.48109603	      0.61446145	      0.58411181	     30.39437160	     -6.76815067	     -4.57651125	    -64.82404636	     -5.00000000	      2.07478971	     21.77727161	     -4.83787652	     -5.00000000	    -19.56299613	      3.02282145	     -2.00000000	      2.00000000	     36.30957923	      1.05337080	     14.57482462	    -48.07307194	      5.00000000	     -1.57629600	     25.66636681	      2.68257814	      5.00000000	    -16.63402066	      3.66825910	      2.00000000	     -1.93795615	     -6.07481594	      1.02278564	     10.23470851	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00042092	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
      0.03500000	     -9.11884686	     -2.23033972	     -1.48393680	     -3.47976362	      0.61451956	      0.58377831	     30.83134009	     -6.85414563	     -4.56486705	    -65.33682244	     -5.00000000	      2.24749210	     21.84534645	     -4.88021805	     -5.00000000	    -19.63288723	      3.03181217	     -2.00000000	      2.00000000	     36.20916744	      1.10393114	     14.90366073	    -48.23207392	      5.00000000	     -1.49883950	     25.72886762	      2.73833865	      5.00000000	    -16.81012329	      3.63985457	      2.00000000	     -1.94593781	     -6.25476790	      1.24746676	     10.12312580	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00042092	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
      0.04000000	     -9.12503018	     -2.36790471	     -1.50122792	     -3.47800709	      0.61488338	      0.58368330	     31.22567437	     -6.90982835	     -4.57441151	    -65.67201003	     -5.00000000	      2.29454606	     21.87536710	     -4.89700835	     -5.00000000	    -19.66167862	      3.03567035	     -2.00000000	      2.00000000	     35.91741723	      1.10024005	     15.10568297	    -48.07946446	      5.00000000	     -1.38121595	     25.74285352	      2.74615751	      5.00000000	    -16.84931846	      3.63132230	      2.00000000	     -1.94724205	     -6.31898058	      1.40706789	     10.06768138	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00042092	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
      0.04500000	     -9.12994560	     -2.55870519	     -1.44862810	     -3.47694672	      0.61501947	      0.58333285	     31.74395728	     -7.01785375	     -4.53251809	    -66.10468623	     -5.00000000	      2.50351156	     21.95158448	     -4.93116232	     -5.00000000	    -19.73426534	      3.04589100	     -2.00000000	      2.00000000	     35.82156096	      1.17310265	     15.47074795	    -48.18452086	      5.00000000	     -1.26206296	     25.82710868	      2.81848688	      5.00000000	    -17.01406185	      3.60686460	      2.00000000	     -1.95337544	     -6.57879952	      1.64210142	      9.98054636	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00042092	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
