IKResults
version=1
nRows=700
nColumns=67
inDegrees=yes

Units are S.I. units (second, meters, Newtons, ...)
Angles are in degrees.

endheader
time	pelvis_tilt	pelvis_list	pelvis_rotation	pelvis_tx	pelvis_ty	pelvis_tz	hip_flexion_r	hip_adduction_r	hip_rotation_r	knee_angle_r	knee_rot_r	knee_adduc_r	ankle_angle_r	ankle_rot_r	ankle_add_r	subtalar_angle_r	mtp_angle_r	mtp_rot_r	mtp_add_r	hip_flexion_l	hip_adduction_l	hip_rotation_l	knee_angle_l	knee_rot_l	knee_adduc_l	ankle_angle_l	ankle_rot_l	ankle_add_l	subtalar_angle_l	mtp_angle_l	mtp_rot_l	mtp_add_l	lumbar_extension	lumbar_bending	lumbar_rotation	neck_flexion	neck_lateral_bending	neck_rotation	arm_flex_r	arm_add_r	arm_rot_r	elbow_flex_r	elbow_rot_r	elbow_add_r	pro_sup_r	wrist_flex_r	wrist_adduc_r	wrist_rot_r	wrist_dev_r	hand_finger_flex_r	hand_finger_adduc_r	hand_finger_rot_r	arm_flex_l	arm_add_l	arm_rot_l	elbow_flex_l	elbow_rot_l	elbow_add_l	pro_sup_l	wrist_flex_l	wrist_adduc_l	wrist_rot_l	wrist_dev_l	hand_finger_flex_l	hand_finger_adduc_l	hand_finger_rot_l
      0.00000000	     11.63987229	      0.80854319	     -2.32732311	     -2.78253980	      0.76737621	      0.84908241	     -7.94019276	      2.28909701	      2.21418354	     -8.80159781	     -5.00000000	     -0.67716463	      5.32184916	     -4.63394322	      0.84209484	     -2.94587638	      0.77155578	     -0.32406326	      0.41610649	     12.12629710	      2.62325109	      1.12916821	    -59.66821212	      5.00000000	     -2.85426098	      3.22661529	     -2.18496407	      1.83777491	     -0.57435337	      2.67896432	     -0.27601508	     -1.14013099	    -27.90502050	      0.73114563	     -0.01279479	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00042092	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
      0.00500000	     11.42018830	      0.81137346	     -2.23944912	     -2.77718151	      0.76726239	      0.84965838	     -8.52212906	      2.21868168	      2.12468223	     -8.12747689	     -5.00000000	     -0.42934264	      5.63331269	     -4.63017970	      0.94181645	     -2.91910265	      0.82244784	     -0.33769947	      0.44181716	     13.12401884	      2.66080700	      1.29915991	    -58.70346547	      5.00000000	     -3.02666231	      3.52516176	     -1.85600086	      1.91698961	     -0.83902275	      2.87882800	     -0.28800489	     -1.22659692	    -27.73041681	      0.69310791	      0.42637471	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00042092	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
      0.01000000	     10.88342211	      0.78896939	     -2.01317565	     -2.77243480	      0.76664786	      0.85042643	     -8.49464425	      2.34343858	      1.78134992	     -7.92049953	     -5.00000000	     -0.40383521	      6.20544813	     -4.43154460	      1.36014718	     -2.44840471	      1.48625036	     -0.58791879	      0.79275392	     14.58597699	      2.56111425	      3.56273942	    -57.91338835	      5.00000000	     -5.00000000	      3.41710420	     -0.81291762	      2.65523938	     -1.22054157	      5.84989359	     -0.52055013	     -2.00000000	    -27.36046825	      0.63764442	      0.58724494	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00042092	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
      0.01500000	     10.76950999	      0.80273061	     -1.98095835	     -2.76713609	      0.76654056	      0.85124018	     -9.08523454	      2.34591593	      1.67375989	     -7.41078833	     -5.00000000	     -0.31905194	      6.29237571	     -4.51442552	      1.38772157	     -2.48150396	      1.52747009	     -0.60698225	      0.81527511	     15.32533928	      2.53791521	      3.44647690	    -56.75982214	      5.00000000	     -4.98977379	      3.74633542	     -0.60718245	      2.61766939	     -1.33046850	      6.03605987	     -0.52488024	     -2.00000000	    -27.30881281	      0.50328763	      0.93331943	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00042092	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
      0.02000000	     10.71294258	      0.75116932	     -1.90881720	     -2.76263901	      0.76630511	      0.85213743	     -9.46758462	      2.45366407	      1.65980190	     -7.34319110	     -5.00000000	     -0.23373451	      6.34480651	     -4.50705686	      1.40567628	     -2.47216145	      1.53505902	     -0.60908116	      0.81911010	     16.11503035	      2.43861476	      3.42018602	    -55.71748951	      5.00000000	     -4.99937615	      3.83692145	     -0.57209910	      2.59924312	     -1.34921244	      6.06261032	     -0.52545238	     -2.00000000	    -27.60655062	      0.43083501	      1.01810777	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00042092	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
      0.02500000	     10.57991055	      0.84881127	     -2.01925988	     -2.75697921	      0.76608104	      0.85298233	    -10.26579006	      2.36979839	      1.54659935	     -6.44121310	     -5.00000000	     -0.23208936	      6.64834744	     -4.52129055	      1.48652301	     -2.46329441	      1.59053096	     -0.62735012	      0.84778486	     16.63860691	      2.55277215	      3.32481708	    -54.28363168	      5.00000000	     -4.98504693	      4.08207653	     -0.19194048	      2.58206035	     -1.53918533	      6.27545759	     -0.52824076	     -2.00000000	    -27.34375844	      0.13965806	      1.60285411	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00042092	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
      0.03000000	     10.52000925	      0.79350240	     -1.90912358	     -2.75252114	      0.76564609	      0.85380881	    -10.62494689	      2.48390804	      1.53052684	     -6.41267673	     -5.00000000	     -0.14990277	      6.70566171	     -4.50980711	      1.50428481	     -2.45254061	      1.59847236	     -0.62871609	      0.85161374	     17.34490373	      2.42412325	      3.29979587	    -53.12782835	      5.00000000	     -4.99988639	      4.16016942	     -0.15201726	      2.56063838	     -1.55556129	      6.29964659	     -0.52869766	     -2.00000000	    -27.61863440	      0.07760873	      1.68065426	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00042092	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
      0.03500000	     10.60663122	      1.10464563	     -2.21912047	     -2.74677526	      0.76563879	      0.85465887	    -11.57709177	      2.12161381	      1.28856509	     -5.67255911	     -5.00000000	     -0.20571131	      7.13382243	     -4.35866415	      1.60020709	     -2.34243140	      1.72904052	     -0.65020565	      0.91434137	     17.36551452	      2.79566441	      3.17795709	    -51.24271613	      5.00000000	     -5.00000000	      4.24325623	      0.50781675	      2.55320590	     -1.78308708	      6.76797095	     -0.53854763	     -2.00000000	    -27.58171398	     -0.47849019	      2.31594511	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00042092	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
      0.04000000	     10.54332389	      1.00561862	     -2.15940053	     -2.74179233	      0.76517470	      0.85544263	    -12.02313991	      2.27321177	      1.24177435	     -5.56854513	     -5.00000000	     -0.14252145	      7.26009918	     -4.36230344	      1.62414251	     -2.34474676	      1.75250529	     -0.65294093	      0.92536115	     17.81328248	      2.63238301	      3.20772127	    -49.72214890	      5.00000000	     -5.00000000	      4.30399649	      0.56263460	      2.51946274	     -1.77816912	      6.83833457	     -0.54064057	     -2.00000000	    -27.60219396	     -0.45869702	      2.40151902	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00042092	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
      0.04500000	     10.46497731	      1.01224271	     -2.09247684	     -2.73655610	      0.76462897	      0.85623345	    -12.59748675	      2.37189900	      1.15622870	     -5.21358242	     -5.00000000	     -0.20843793	      7.50920861	     -4.37644850	      1.65907343	     -2.36273473	      1.79571556	     -0.65581909	      0.94517422	     18.19632017	      2.58439561	      3.23360802	    -48.08263428	      5.00000000	     -5.00000000	      4.37906210	      0.78189033	      2.49732439	     -1.85663528	      6.96442776	     -0.54102896	     -2.00000000	    -27.55915844	     -0.57843979	      2.65031781	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	     -0.00042092	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000	      0.00000000
